Species,Experiment,Patrol,SpeciesAnal,Site,TwigCodeNoPatrol,TwigArea_sum,TwigHerbivory_sum,TwigHerbProp,StartEndDiff,SaplingCodeNoPatrol,SaplingCodeUnique,TwigCodeUnique
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_B,BUB_Baccaurea_ramiflora_5CN1_Red_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_Red,173.19455,3.71445,0.021446691,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_C,BUB_Baccaurea_ramiflora_5CN1_Red_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_Red,396.26611,21.16624,0.053414207,0.031967516,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_D,BUB_Baccaurea_ramiflora_5CN1_Red_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_A,BUB_Baccaurea_ramiflora_5CN1_White_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_B,BUB_Baccaurea_ramiflora_5CN1_White_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_White,276.49615,6.02365,0.021785656,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_C,BUB_Baccaurea_ramiflora_5CN1_White_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_White,202.19599,8.00391,0.03958491,0.017799254,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_D,BUB_Baccaurea_ramiflora_5CN1_White_D
SP2,1MO,A,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_Blue,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_A,BUB_Cleidion_brevipetiolatum_1CN1_Blue_A
SP2,1MO,B,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_Blue,NA,NA,NA,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_B,BUB_Cleidion_brevipetiolatum_1CN1_Blue_B
SP2,1MO,C,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_Blue,413.68774,6.59306,0.015937286,NA,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_C,BUB_Cleidion_brevipetiolatum_1CN1_Blue_C
SP2,1MO,D,Cleidion_brevipetiolatum,BUB,BUB_Cleidion_brevipetiolatum_1CN1_Blue,243.63638,13.84198,0.056814093,0.040876807,BUB_Cleidion_brevipetiolatum_1CN1,BUB_Cleidion_brevipetiolatum_1CN1_D,BUB_Cleidion_brevipetiolatum_1CN1_Blue_D
